Key West Nas /Boca Chica Field (private U. S. Navy ),US,67,NQX
A L Mangham Jr. Regional,US,67,OCH
AAF Heliport,US,67,AYE
Aberdeen Regional,US,67,ABR
Abilene Regional,US,67,ABI
Abraham Lincoln Capital,US,67,SPI
Acadiana Regional,US,67,ARA
Accomack County,US,67,MFV
Ada Municial,US,67,ADT
Adak Island Ns,US,67,ADK
Addison Airport,US,67,ADS
Adirondack Regional,US,67,SLK
Af Aux,US,67,INS
AFB,US,67,HST
AFS,US,67,OHC
AFS,US,67,PML
Ainsworth,US,67,ANW
Airpark,US,67,MDD
Airstrip,US,67,VIK
Akhiok,US,67,AKK
Akiak,US,67,AKI
Akron Fulton International,US,67,AKC
Akron/canton Regional,US,67,CAK
Akutan,US,67,KQA
Alakanuk,US,67,AUK
Albany,US,67,CVO
Albany International,US,67,ALB
Albany NAS,US,67,NAB
Albert J Ellis,US,67,OAJ
Albert Lea,US,67,AEL
Albert Whitted,US,67,SPG
Albertus,US,67,FEP
Albuquerque International,US,67,ABQ
Aleknagik,US,67,WKK
Aleneva,US,67,AED
Alexander Field,US,67,ISW
Alexandria,US,67,AXN
Alexandria Bay,US,67,AXB
Alexandria International,US,67,AEX
Algona,US,67,AXG
Alitak SPB,US,67,ALZ
Allakaket,US,67,AET
Allegheny County,US,67,AGC
Allen County,US,67,AOH
Alliance Municipal,US,67,AIA
Alpena County Regional,US,67,APN
Alpine,US,67,ALE
Altoona-Blair County,US,67,AOO
Altus AFB,US,67,LTS
Altus/Quartz Mountain Regional,US,67,AXS
Alyeska,US,67,AQY
Ambler,US,67,ABL
Amchitka,US,67,AHT
Amedee AAF,US,67,AHC
Ames,US,67,AMW
Amook,US,67,AOS
Anacortes,US,67,OTS
Anaheim,US,67,ANA
Anaktuvuk,US,67,AKP
Anderson Municipal-Darlington,US,67,AID
Anderson Regional,US,67,AND
Andrau Airpark,US,67,AAP
Andrews,US,67,ADR
Andrews AFB,US,67,ADW
Andrews NAF,US,67,NSF
Angel Fire,US,67,AXX
Angoon,US,67,AGN
Aniak,US,67,ANI
Animas Airpark,US,67,AMK
Anita Bay,US,67,AIB
Annette Island,US,67,ANN
Anniston Metropolitan,US,67,ANB
Anthony,US,67,ANY
Antlers Municipal,US,67,ATE
Antrim County,US,67,ACB
Anvik,US,67,ANV
Ap In The Sky,US,67,CIB
Apalachicola Regional,US,67,AAF
Apple Valley,US,67,APV
Aransas County,US,67,RKP
Aransas National Wildlife Refuge,US,67,MGI
Arcata,US,67,ACV
Arctic Village,US,67,ARC
Ardmore Municipal Arpt,US,67,ADM
Arkansas City,US,67,WLD
Arnold AFS,US,67,TUH
Arnold Palmer Regional,US,67,LBE
Artesia,US,67,ATS
Asbury Park,US,67,ARX
Asheville Regional,US,67,AVL
Ashley,US,67,ASY
Ashtabula,US,67,JFN
Aspen,US,67,ASE
Astoria Regional,US,67,AST
Athens,US,67,AHN
Atka,US,67,AKB
Atlanta Nas,US,67,NCQ
Atlantic City International,US,67,ACY
Atmautluak,US,67,ATT
Atqasuk,US,67,ATK
Attala County,US,67,OSX
Auburn,US,67,AUN
Auburn,US,67,LEW
Auburn-Opelika,US,67,AUO
Augusta Regional,US,67,AGS
Augusta State,US,67,AUG
Aurora Municipal,US,67,AUZ
Austin,US,67,ASQ
Austin Municipal,US,67,AUM
Austin Straubel International,US,67,GRB
Austin-bergstrom International,US,67,AUS
Aux Field,US,67,NRC
Avalo Vor/WP,US,67,SXC
Avalon Bay,US,67,AVX
Avra Valley,US,67,AVW
Baca Grande,US,67,BCJ
Bader Field,US,67,AIY
Bagdad,US,67,BGT
Baker,US,67,BKE
Baker Aaf,US,67,BAR
Baldwin County,US,67,MLJ
Baltimore Greenbelt T,US,67,GBO
Baltimore Rail,US,67,ZBP
Baltimore/Washington International Thurgood Marshall,US,67,BWI
Bangor International Airport,US,67,BGR
Banning Municipal,US,67,BNG
Bar Harbor,US,67,BHB
Barin Olf Osn,US,67,NHX
Barking Sands PMRF,US,67,BKH
Barkley Regional,US,67,PAH
Barksdale AFB,US,67,BAD
Barnes,US,67,BNH
Barnes,US,67,BAF
Barnstable,US,67,HYA
Barnwell Regional,US,67,BNL
Barstow-Daggett,US,67,DAG
Barter Island,US,67,BTI
Bartlesville,US,67,BVO
Bartlett SPB,US,67,BQV
Bartletts,US,67,BSZ
Bartow,US,67,BOW
Battery Pk City/N. Cov,US,67,NBP
Baudette,US,67,BDE
Bay City,US,67,BBC
Bay County (Closed),US,67,PFN
Baytown Airport,US,67,HPY
Beale AFB,US,67,BAB
Bear Creek 3,US,67,BCC
Beatrice,US,67,BIE
Beatty,US,67,BTY
Beaumont Muni,US,67,BMT
Beauregard Parish,US,67,DRI
Beaver,US,67,WBQ
Beaver Creek Van Svce.,US,67,ZBV
Beaver Falls,US,67,BFP
Beaver Ruin,US,67,JAO
Beckley,US,67,BKW
Beech,US,67,BEC
Bellefonte,US,67,PSB
Bellingham International,US,67,BLI
Bellows Field,US,67,BLW
Beluga,US,67,BVU
Bemidji Regional,US,67,BJI
Bennettsville,US,67,BTN
Berkeley,US,67,JBK
Berlin Municipal Airport,US,67,BML
Bermuda Dunes,US,67,UDD
Bert Mooney Airport,US,67,BTM
Bethel Airport,US,67,BET
Bettles,US,67,BTT
Beverly Municiple Airport,US,67,BVY
Bhurban Heliport,US,67,BHC
Bicycle Lake AAF,US,67,BYS
Big Bear City Arpt,US,67,RBF
Big Creek,US,67,BIC
Big Lake,US,67,BGQ
Big Mountain,US,67,BMX
Big Piney-marbleton,US,67,BPI
Big Rapids,US,67,WBR
Biggs Aaf,US,67,BIF
Bill and Hillary Clinton National/Adams Field,US,67,LIT
Billings Logan International,US,67,BIL
Birch Creek,US,67,KBC
Birchwood-Pocono,US,67,ESP
Birmingham-Shuttlesworth International,US,67,BHM
Bisbee Municipal Arpt,US,67,BSQ
Bisbee-Douglas International,US,67,DGF
Bisbee-Douglas Intl,US,67,DUG
Bishop,US,67,BIH
Bishop International,US,67,FNT
Bismarck Municipal,US,67,BIS
Black Hills,US,67,SPF
Blackstone AAF,US,67,BKT
Blackwell,US,67,BWL
Blaine,US,67,BWS
Blairsville,US,67,BSI
Blakely Island,US,67,BYW
Blanding,US,67,BDG
Block Island,US,67,BID
Bloomington,US,67,BMG
Blosser Municipal,US,67,CNK
Blue Canyon,US,67,BLU
Blue Fox Bay,US,67,BFB
Blue Grass,US,67,LEX
Blue Grass Station Army Heliport,US,67,LSD
Blythe,US,67,BLH
Blytheville AFB,US,67,BYH
Bob Barker Memorial,US,67,IAN
Bob Hope,US,67,BUR
Bob Sikes,US,67,CEW
Boca Raton,US,67,BCT
Boeing Field / King County International,US,67,BFI
Boire Field,US,67,ASH
Boise Air Terminal/Gowen Field,US,67,BOI
Bolling AFB,US,67,BOF
Bomar Field,US,67,SYI
Boone,US,67,BNW
Boone County,US,67,HRO
Borger,US,67,BGD
Bornite Upper,US,67,RLU
Borrego Springs,US,67,BXS
Boston BKBAY Rail,US,67,ZTY
Boston City Heliport,US,67,JBC
Boston RT128 Rail,US,67,ZRU
Boston South Rail,US,67,ZTO
Boswell Bay,US,67,BSW
Boulder City Municipal,US,67,BLD
Boundary,US,67,BYA
Boundary Bay,US,67,JNU
Bowerman,US,67,HQM
Bowers Field,US,67,ELN
Bowman,US,67,BWM
Bowman Field Airport,US,67,LOU
Boxborough,US,67,BXC
Bozeman Yellowstone International,US,67,BZN
Brackett Field,US,67,POC
Bradford Regional,US,67,BFD
Bradley International,US,67,BDL
Bradshaw AAF,US,67,BSF
Brainard,US,67,HFD
Brainerd Lakes Regional,US,67,BRD
Branson,US,67,BKG
Brawley,US,67,BWC
Brazoria County,US,67,LJN
Bremerton National,US,67,PWT
Brevig Mission,US,67,KTS
Brewster Field,US,67,HDE
Brigham City,US,67,BMC
Broadus,US,67,BDX
Broken Bow,US,67,BBW
Broker Inn,US,67,WBI
Brookhaven,US,67,WSH
Brookings Regional (Municipal),US,67,BKX
Brookings State,US,67,BOK
Brooks Lodge,US,67,RBH
Brown Field Municipal,US,67,SDM
Browns,US,67,EPG
Brownwood,US,67,BWD
Brunswick Golden Isles,US,67,NEA
Brunswick Golden Isles Airport,US,67,BQK
Bryant AAF,US,67,FRN
Bryce,US,67,BCE
Buchanan Field,US,67,CCR
Buckeye Municipal,US,67,BXK
Buckhorn Ranch,US,67,CSE
Buckland,US,67,BKC
Buffalo Depew Rr,US,67,ZFZ
Buffalo Municipal Airport,US,67,BFK
Buffalo Niagara International,US,67,BUF
Bullfrog Basin,US,67,BFG
Burke Lakefront,US,67,BKL
Burlington,US,67,BBF
Burlington County,US,67,LLY
Burlington International,US,67,BTV
Burns,US,67,BNO
Butler,US,67,BUM
Butler County - Kenny Scholter Field,US,67,BTP
Butts AAF,US,67,FCS
Buzzards Pt S,US,67,BZS
Cabaniss Field,US,67,NGW
Cabin Creek,US,67,CBZ
Cable Airport,US,67,CCB
Cable Heliport,US,67,JUP
Cadillac,US,67,CAD
Cairns AAF,US,67,OZR
Cairo Regional,US,67,CIR
Caldwell Wright,US,67,CDW
Calipatria,US,67,CLR
Callaway Gardens,US,67,CWG
Calloway,US,67,LGC
Calloway County,US,67,CEY
Cambria County,US,67,JST
Cambridge,US,67,CGE
Camp A P Hill,US,67,APH
Camp Maybry AHP,US,67,MMR
Campbell AAF,US,67,HOP
Campbell County,US,67,GCC
Campo,US,67,CZZ
Candle,US,67,CDL
Cannon AFB,US,67,CVS
Canon City,US,67,CNE
Canton,US,67,CTK
